timestamp,yaw,pitch,roll,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,raw_mx,raw_my,raw_mz
1766547597.467495,-8.68,-0.85,-0.3,0.015625,-0.005859375,0.986328125,-0.125,0.0625,-0.0625,26.1,-41.2,17.7
1766547597.489155,-8.71,-0.92,-0.29,0.016113281,-0.005371094,0.984863281,-0.0625,0.0625,0,26.7,-43.3,19
1766547597.510266,-8.74,-0.96,-0.32,0.016601563,-0.005859375,0.985351563,-0.0625,0.0625,0,27.3,-42,18.7
1766547598,-8.77,-0.93,-0.36,0.016113281,-0.006347656,0.984863281,-0.0625,0.1875,0,24.6,-43.2,16.9
1766547597.553201,-8.81,-0.91,-0.31,0.015625,-0.005371094,0.985839844,-0.0625,0,0,28,-41.2,17.2
1766547597.5743701,-8.85,-0.93,-0.34,0.016113281,-0.005859375,0.985351563,-0.125,0.125,0,26.8,-41.7,17.2
1766547597.5959628,-8.88,-0.98,-0.41,0.016601563,-0.006835938,0.985351563,-0.0625,0.0625,0,25.8,-42.9,18
1766547597.616898,-8.92,-0.92,-0.34,0.016601563,-0.005859375,0.986816406,-0.125,0.0625,-0.0625,25.5,-41.8,18.3
1766547597.637232,-8.96,-0.94,-0.28,0.016601563,-0.005371094,0.985839844,0,0.125,0,25.8,-41.2,15.4
1766547597.659182,-8.99,-0.91,-0.31,0.015625,-0.005859375,0.987304688,-0.125,0.0625,-0.0625,24.6,-43.2,17.2
1766547597.680751,-9.03,-0.99,-0.31,0.016601563,-0.005371094,0.986816406,-0.0625,0.0625,0,25.8,-41.2,19.2
1766547598,-9.08,-0.9,-0.35,0.016113281,-0.006347656,0.985351563,-0.0625,0.125,-0.0625,27.3,-42.9,17.2
1766547597.724577,-9.12,-0.85,-0.28,0.016601563,-0.005371094,0.986328125,-0.0625,0.0625,0,25.9,-41.8,18.6
1766547597.745774,-9.15,-0.94,-0.35,0.017089844,-0.006835938,0.986816406,-0.0625,0.0625,0,26.5,-40.9,18
1766547597.766457,-9.18,-0.95,-0.29,0.017089844,-0.005371094,0.985839844,-0.125,0.1875,0,26.2,-42.6,17.4
1766547597.7876868,-9.22,-0.93,-0.3,0.016113281,-0.004882813,0.986816406,0,0.125,0.0625,26.8,-42,18.4
1766547597.8091872,-9.25,-0.9,-0.33,0.015625,-0.005859375,0.986328125,-0.0625,0.0625,0,26.8,-42.4,17.7
1766547597.8296242,-9.28,-0.92,-0.33,0.016113281,-0.005859375,0.985839844,0,0.0625,0.125,25.3,-42.4,18.7
1766547597.8515148,-9.31,-0.92,-0.36,0.016113281,-0.006347656,0.986328125,-0.1875,0.125,0,28,-41.2,16.9
1766547598,-9.34,-0.96,-0.35,0.016113281,-0.005859375,0.986816406,-0.0625,0.0625,0,25.3,-41.7,18.7
1766547597.893017,-9.38,-0.97,-0.34,0.016601563,-0.005859375,0.986328125,-0.1875,0.0625,0,25.3,-41.7,17.7
1766547598,-9.42,-0.95,-0.36,0.016113281,-0.005859375,0.985839844,-0.125,0.0625,-0.0625,25.5,-43.3,19
1766547597.936642,-9.46,-0.93,-0.33,0.016113281,-0.005859375,0.986816406,-0.0625,0.1875,0,25.2,-42.3,17.4
1766547597.9571059,-9.49,-0.93,-0.32,0.015625,-0.005371094,0.984375,-0.125,0.125,-0.0625,26.1,-41.2,19.2
1766547597.979306,-9.55,-0.83,-0.3,0.015136719,-0.006347656,0.985839844,-0.0625,0,0,25.5,-41.5,17.4
1766547598.000868,-9.58,-0.85,-0.3,0.015136719,-0.005859375,0.985839844,-0.0625,0,0,25.9,-43,16.6
1766547598.023287,-9.61,-0.87,-0.31,0.015625,-0.005859375,0.986328125,-0.0625,0.0625,0,26.7,-43,18.3
